DRCOV VERSION: 3
DRCOV FLAVOR: drcov-64
Module Table: version 5, count 38
Columns: id, containing_id, start, end, entry, offset, preferred_base, path
  0,   0, 0x00007f5ffcb4e000, 0x00007f5ffcb4f000, 0x00007f5ffcb4f1d0, 0000000000000000, 0x0000000072000000,  /dynamorio/build/clients/lib64/release/libdrcov.so
 12,  12, 0x00007f6040b8f000, 0x00007f6040bda000, 0x00007f6040c9d855, 0000000000000000, 0x0000000071000000,  /dynamorio/build/lib64/release/libdynamorio.so
 13,  12, 0x00007f6040bda000, 0x00007f6040cc8000, 0x00007f6040c9d855, 000000000004b000, 0x000000007104b000,  /dynamorio/build/lib64/release/libdynamorio.so
 14,  12, 0x00007f6040cc8000, 0x00007f6040d12000, 0x00007f6040c9d855, 0000000000139000, 0x0000000071139000,  /dynamorio/build/lib64/release/libdynamorio.so
 15,  12, 0x00007f6040d13000, 0x00007f6040dab000, 0x00007f6040c9d855, 00000000001839a0, 0x0000000071184000,  /dynamorio/build/lib64/release/libdynamorio.so
 16,  16, 0x00007ffe6794f000, 0x00007ffe67950000, 0x00007ffe6794f670, 0000000000000000, 0x0000000000000000,  [vdso]
 17,  16, 0x00007ffe67950000, 0x00007ffe67951000, 0x00007ffe6794f670, 0000000000001000, 0x0000000000001000,  [vdso]
 18,  18, 0x00007f604091e000, 0x00007f6040943000, 0x00007f60409451f0, 0000000000000000, 0x0000000000000000,  /usr/lib/x86_64-linux-gnu/libc-2.31.so
 19,  18, 0x00007f6040943000, 0x00007f6040abb000, 0x00007f60409451f0, 0000000000025000, 0x0000000000025000,  /usr/lib/x86_64-linux-gnu/libc-2.31.so
 20,  18, 0x00007f6040abb000, 0x00007f6040b05000, 0x00007f60409451f0, 000000000019d000, 0x000000000019d000,  /usr/lib/x86_64-linux-gnu/libc-2.31.so
 21,  18, 0x00007f6040b06000, 0x00007f6040b10000, 0x00007f60409451f0, 00000000001e7600, 0x00000000001e8000,  /usr/lib/x86_64-linux-gnu/libc-2.31.so
 22,  22, 0x00007f604086b000, 0x00007f6040872000, 0x00007f6040873190, 0000000000000000, 0x0000000000000000,  /usr/lib/x86_64-linux-gnu/libpthread-2.31.so
 23,  22, 0x00007f6040872000, 0x00007f6040883000, 0x00007f6040873190, 0000000000007000, 0x0000000000007000,  /usr/lib/x86_64-linux-gnu/libpthread-2.31.so
